NDB_No,Shrt_Desc,Energ_Kcal,Energ_Kcal,Protein_(g),Carbohydrt_(g),Vit_C_(mg),Sodium_(mg),Calcium_(mg),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2
9018,"APPLE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O WO/ VIT C",47,47,0.14,11.54,0.6,7,6,0,239,1 cup,29.9,1 fl oz
9411,"APPLE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O,W/ VIT C",47,47,0.14,11.54,25,7,6,0,239,1 cup,29.9,1 fl oz
9410,"APPLE JUC,FRZ CONC,UNSWTND,UNDIL,W/ VIT C",166,166,0.51,41,88.9,25,20,0,211,"1 can,  (6 fl oz)",,
9017,"APPLE JUC,FRZ CONC,UNSWTND,UNDIL,WO/ VIT C",166,166,0.51,41,2.1,25,20,0,211,"1 can,  (6 fl oz)",,
36000,"APPLEBEE'S,9 OZ HOUSE SIRLOIN STEAK",189,189,26.85,0,,604,16,79,157,1 serving,,
36023,"APPLEBEE'S,CHICK TENDERS PLATTER",297,297,19.62,17.98,,740,23,52,209,1 serving,,
36005,"APPLEBEE'S,CHICK TENDERS,FROM KIDS' MENU",296,296,19.25,18.36,,763,23,51,35,1 piece,99,"1 serving, (3 pieces)"
36019,"APPLEBEE'S,CHILI",157,157,12.56,4.57,1.1,381,34,45,136,1 cup,182,1 serving
36021,"APPLEBEE'S,COLESLAW",120,120,0.79,13.17,13.7,178,36,2,76,1 serving,,
36022,"APPLEBEE'S,CRUNCHY ONION RINGS",356,356,4.58,40.17,,833,22,,350,1 serving,,
36001,"APPLEBEE'S,DOUBLE CRUNCH SHRIMP",323,323,12.31,25.96,,838,45,86,206,1 serving,,
36018,"APPLEBEE'S,FISH,HAND BATTERED",202,202,13.23,16.65,,607,13,34,250,1 serving,,
36002,"APPLEBEE'S,FRENCH FR",290,290,3.31,39.5,0.7,618,19,1,164,1 serving,,
36003,"APPLEBEE'S,KRAFT,MACARONI & CHS,FROM KID'S MENU",143,143,5.01,21.08,,288,79,7,124,1 cup,180,1 serving
36004,"APPLEBEE'S,MOZZARELLA STKS",316,316,14.87,22.87,,838,319,33,32,1 piece,289,1 serving
9008,"APPLES,CND,SWTND,SLICED,DRND,HTD",67,67,0.18,16.84,0.2,3,4,0,204,"1 cup, slices",,
9007,"APPLES,CND,SWTND,SLICED,DRND,UNHTD",67,67,0.18,16.7,0.4,3,4,0,204,"1 cup, slices",,
9010,"APPLES,DEHYD (LO MOIST),SULFURED,STWD",74,74,0.28,19.91,0.6,26,4,0,193,1 cup,,
9009,"APPLES,DEHYD (LO MOIST),SULFURED,UNCKD",346,346,1.32,93.53,2.2,124,19,0,60,1 cup,,
9013,"APPLES,DRIED,SULFURED,STWD,W/ SUGAR",83,83,0.2,20.73,0.9,19,3,0,280,1 cup,,
9012,"APPLES,DRIED,SULFURED,STWD,WO/ SUGAR",57,57,0.22,15.32,1,20,3,0,255,1 cup,,
9011,"APPLES,DRIED,SULFURED,UNCKD",243,243,0.93,65.89,3.9,87,14,0,86,1 cup,6.4,1 ring
9015,"APPLES,FRZ,UNSWTND,HTD",47,47,0.29,12,0.4,3,5,0,206,"1 cup, slices",,
9014,"APPLES,FRZ,UNSWTND,UNHTD",48,48,0.28,12.31,0.1,3,4,0,173,"1 cup, slices",,
9504,"APPLES,RAW,FUJI,W/ SKN",63,63,0.2,15.22,,1,7,,109,"1 cup, sliced",236,1 large
9503,"APPLES,RAW,GALA,W/ SKN",57,57,0.25,13.68,,1,7,,109,"1 cup, sliced",200,1 large
9501,"APPLES,RAW,GOLDEN DELICIOUS,W/ SKN",57,57,0.28,13.6,,2,6,,109,"1 cup, sliced",215,1 large
9502,"APPLES,RAW,GRANNY SMITH,W/ SKN",58,58,0.44,13.61,,1,5,,109,"1 cup, sliced",206,1 large
9500,"APPLES,RAW,RED DELICIOUS,W/ SKN",59,59,0.27,14.06,,1,6,,109,"1 cup, sliced",260,1 large
9003,"APPLES,RAW,WITH SKIN",52,52,0.26,13.81,4.6,1,6,0,125,"1 cup, quartered or chopped",109,"1 cup, slices"
9004,"APPLES,RAW,WITHOUT SKIN",48,48,0.27,12.76,4,0,5,0,110,"1 cup, slices",216,"1 large,  (3-1/4"" dia)"
9006,"APPLES,RAW,WO/ SKN,CKD,MICROWAVE",56,56,0.28,14.41,0.3,1,5,0,170,"1 cup, slices",,
9005,"APPLES,RAW,WO/SKN,CKD,BLD",53,53,0.26,13.64,0.2,1,5,0,171,"1 cup, slices",,
9402,"APPLESAUCE,CND,SWTND,W/SALT",76,76,0.18,19.91,1.7,28,4,0,255,1 cup,,
9020,"APPLESAUCE,CND,SWTND,WO/ SALT (INCLUDES USDA COMMODITY)",68,68,0.16,17.49,1.7,2,3,0,246,1 cup,,
9401,"APPLESAUCE,CND,UNSWTND,W/ VIT C",42,42,0.17,11.27,21.2,2,4,0,244,1 cup,,
9019,"APPLESAUCE,CND,UNSWTND,WO/ADDED VIT C (INCLUDES USDA COMMOD)",42,42,0.17,11.27,1,2,4,0,244,1 cup,,
9403,"APRICOT NECTAR,CND,W/ VIT C",56,56,0.37,14.39,17.6,3,7,0,251,1 cup,31.4,1 fl oz
9036,"APRICOT NECTAR,CND,WO/ VIT C",56,56,0.37,14.39,0.6,3,7,0,251,1 cup,31.4,1 fl oz
9029,"APRICOTS,CND,EX HVY SYRUP PK,WO/SKN,SOL&LIQUIDS",96,96,0.55,24.85,2.4,13,8,0,246,"1 cup, whole, without pits",,
9025,"APRICOTS,CND,EX LT SYRUP PK,W/SKN,SOL&LIQUIDS",49,49,0.6,12.5,4,2,10,0,247,"1 cup,  halves",,
9022,"APRICOTS,CND,H2O PK,W/SKN,SOL&LIQUIDS",27,27,0.71,6.39,3.4,3,8,0,243,"1 cup,  halves",36,"1 apricot, half with liquid"
9023,"APRICOTS,CND,H2O PK,WO/SKN,SOL&LIQUIDS",22,22,0.69,5.48,1.8,11,8,0,227,"1 cup, whole, without pits",,
9027,"APRICOTS,CND,HVY SYRUP PK,W/SKN,SOL&LIQUIDS",83,83,0.53,21.47,3.1,4,9,0,258,"1 cup,  halves",240,"1 cup, whole"
9028,"APRICOTS,CND,HVY SYRUP PK,WO/SKN,SOL&LIQUIDS",83,83,0.51,21.45,2.8,11,9,0,258,"1 cup, whole, without pits",,
9357,"APRICOTS,CND,HVY SYRUP,DRND",83,83,0.64,21.31,3.1,4,10,0,219,"1 cup,  halves",182,"1 cup, whole"
9024,"APRICOTS,CND,JUC PK,W/SKN,SOL&LIQUIDS",48,48,0.63,12.34,4.9,4,12,0,244,"1 cup,  halves",36,"1 apricot, half with liquid"
