No,Nama,Kalori,Protein ,Karbohidrat,Vit.C,Air,Kalsium,Lemak,Porsi,Berat (g)
298,Daun Bawang,29,1.8,5.2,37,91.6,55,0.7,1 akar,28
299,Daun Beluntas,42,1.8,9.4,30,86,256,0.5,1 mangkok,50
300,Daun Gandaria,60,3.1,14,61,81,40,0.3,1 mangkok,50
301,Daun Jambu Mete muda,73,4.6,16.2,65,78,33,0.5,1 mangkok,50
302,Daun Kacang Panjang,34,4.1,5.8,29,88.3,134,0.4,1 mangkok,50
303,Daun Kacang Panjang kukus,40,3.7,8,11,87.2,111,0.3,1 gelas,100
304,Daun Katuk,59,4.8,11,239,81,204,1,1 mangkok,50
305,Daun Katuk rebus,53,5.3,9.1,66,83.3,186,0.9,1 gelas,100
306,Daun Kecipir,47,5,8.5,29,85,134,0.5,1 mangkok,50
307,Daun Kedondong,59,2.8,13.4,29,81,540,0.3,1 mangkok,60
308,Daun Kelor,82,6.7,14.3,220,75,440,1.7,1 mangkok,55
309,Daun Kelor rebus,61,6.1,10,13,80.3,255,0.9,1 mangkok,162
310,Daun Kemang,43,5.5,7.5,30,85,35,0.3,1 ikat,44.4
311,Daun Kemangi,46,4,8.9,50,85,45,0.5,1 mangkok,37
312,Daun Koro,23,3,3.7,29,91,134,0.3,1 mangkok,50
313,Daun Kumak,14,1.3,2.3,3,95.2,90,0.3,1 tangkai,59
314,Daun Labu Siam,60,4,4.7,16,89.7,58,0.4,1 mangkok,51
315,Daun Labu Waluh,30,3.6,4.5,36,89.7,138,0.6,1 mangkok,50
316,Daun Leunca,45,4.7,8.1,40,85,210,0.5,1 mangkok,42
317,Daun Lobak,30,2.3,5.8,109,60,140,0.4,1 ikat,116
318,Daun Lompong Tales,40,3,7.4,31,87.2,76,0.8,1 mangkok,42.4
319,Daun Mangkokan,54,3.7,11.8,83,82,474,0.3,1 mangkok,50
320,Daun Melinjo,99,5,21.3,182,70.8,219,1.3,1 mangkok,50
321,Daun Mengkudukukus,63,3.8,11.5,11,81.6,300,1.5,1 mangkok,107
322,Daun Oyong,22,1,5.3,150,93,21,0.1,1 mangkok,56.4
323,Daun Pakis,35,4,6.4,30,88,42,0.3,1 mangkok,50
324,Daun Pete Cina,128,12,12.4,64,67,1500,6.5,1 mangkok,80.8
325,Daun Poh-pohan,37,2.5,6.9,5,87.4,744,0.8,1 mangkok,48
326,Daun Semanggi,45,4.4,0.5,6,84.7,98,8,1 mangkok,44.2
327,Daun Singkong,73,6.8,13,275,77.2,165,1.2,1 ikat,104
328,Daun Singkong lodeh,55,4,8.5,70,0,99,0.5,1 mangkok,228.6
329,Daun Singkong rebus,31,3.7,4.8,34,90.5,160,0.6,1 gelas,100
330,Daun Sintrong,36,2.6,6.1,3,88.5,398,0.9,1 mangkok,46.2
331,Daun Tales,71,4.1,12.3,163,79.4,302,2.1,1 mangkok,50
332,Daun Tales rebus,27,1.3,5.9,7,91.6,119,0.2,1 gelas,100
333,Daun Ubi Jalar,47,2.8,10.4,22,84.7,79,0.4,1 mangkok,50
334,Daun Ubi Jalar kukus,56,3.1,13,14,82.5,78,0.3,1 mangkok,143.2
335,Eceng Gondok,18,1,3.8,50,93,80,0.2,1 potong,47.8
336,Gambas (Oyong),18,0.8,4.1,8,94.5,16,0.2,1 mangkok,50
337,Gambas lodeh,13,0.3,1.6,1.3,0,6.7,0.6,1 mangkok,255.2
338,Jagung Muda bertongkol,33,2.2,7.4,8,89.5,7,0.1,1 tongkol,24.6
339,Jamur Coklat (kulat siau),45,2.5,0,5,93.8,36,3.9,1 mangkok,50
340,Jamur Kuping kering,128,16,64.6,0,14.9,51,0.9,1 sdm,7
341,Jamur Kuping segar,15,3.8,0.9,5,93.7,3,0.6,1 mangkok,50
342,Jamur Putih (kulat putih),48,2.8,2.9,5,82.4,60,4.1,1 mangkok,50
343,Jantung Pisang segar,31,1.2,7.1,10,90.2,30,0.3,1 buah,175.5
344,Jaruk Tigarun,48,2.5,0,27,92.1,47,4.2,1 kg,1000
345,Jotang,32,1.9,7.1,20,89,162,0.3,1 mangkok,56.4
346,Kacang Gude muda,123,8.4,1.8,31,67.3,66,0.6,1 sdm,21
347,Kacang Kapri muda,98,6.7,17.7,26,74.3,22,0.4,1 mangkok,50
348,Kacang Panjang,44,2.7,7.8,21,88.5,49,0.3,1 buah,15
349,Kacang Panjang kukus,39,3,7.6,20,88.2,100,0.6,1 gelas,100
350,Kacang Panjang rebus,30,2.3,5.8,15,90.9,71,0.4,1 gelas,100
351,Kacang Panjang tumis,150,2.5,7,8,0,45,12.5,1 sdm,15
352,Kakap,92,20,0,0,77,20,0.7,1 ekor,707
353,Kalakai,66,2.8,3.4,12,74.6,89,6.8,1 ikat,232
354,Kangkung,29,3,5.4,32,89.7,73,0.3,1 ikat,125
355,Kangkung kukus,30,3.2,4.7,11,90.4,70,0.7,1 mangkok,155
356,Kangkung rebus,22,2.5,3.1,13,93,50,0.6,1 gelas,100
357,Kangkung tumis,52,1.8,3,8.6,0,39.8,3.6,1 sdm,11.4
358,Kecipir buah muda,35,2.9,0.8,19,90.4,63,0.2,1 mangkok,50
359,Kelewih,111,1.5,27.2,19,70,28,0.3,1 potong,24
360,Kembang Turi,44,1.8,9.6,41,87.4,23,0.6,1 mangkok,50
361,Ketimun,12,0.7,2.7,8,96.1,10,0.1,1 buah ,83
362,Ketimun,12,0.7,2.7,8,96.1,10,0.1,1 buah ,142
363,Ketimun,12,0.7,2.7,8,96.1,10,0.1,1 buah ,208
364,Kool Kembang,25,2.4,4.9,69,91.7,22,0.2,1 mangkok,174.6
365,Kool Merah kool putih,24,1.4,5.3,50,92.4,46,0.2,1 buah ,255
366,Kool Merah kool putih,24,1.4,5.3,50,92.4,46,0.2,1 buah ,493
367,Kool Merah kool putih,24,1.4,5.3,50,92.4,46,0.2,1 buah ,849
368,Koro Kerupuk buah,125,8.3,22.1,31,67.2,17,0.7,1 buah,4.2
369,Koro Wedus buah muda,38,3,7.9,17,88,56,0.3,1 kg,1000
370,Krokot,21,1.7,3.8,25,93,103,0.4,1 mangkok,65.6
371,Kucai,45,2.2,10.3,17,86.3,52,0.3,1 mangkok,77.2
372,Kucai Muda (Lokio),42,3.8,7.8,59,86,76,0.6,1 ikat,25
373,Labu Air,17,0.6,3.8,10,95,12,0.2,1 mangkok,50
374,Labu Siam,26,0.6,6.7,18,92.3,14,0.1,1 buah ,162
375,Leunca buah,33,1.9,7.4,17,90,274,0.1,1 mangkok,192.2
376,Lobak,19,0.9,4.2,32,94.1,35,0.1,1 buah,110
377,Melinjo,66,5,13.3,100,80,163,0.7,1 buah,6.3
378,Nangka Muda,51,2,11.3,9,85.4,45,0.4,1 potong,300
379,Paria (Pare),29,1.1,6.6,52,91.2,45,0.3,1 buah ,70
380,Paria (Pare),29,1.1,6.6,52,91.2,45,0.3,1 buah ,109
381,Paria (Pare),29,1.1,6.6,52,91.2,45,0.3,1 buah ,172
382,Paria Putih kukus,16,0.8,3.4,35,95,16,0.2,1 gelas,100
383,Pe-Cay,23,1.8,4.5,75,92.4,179,0.3,1 buah,61.6
384,Pepaya Muda,26,2.1,4.9,19,92.3,50,0.1,1 mangkok,50
385,Pepaya lodeh,275,11.6,30.2,43.6,0,251.3,11.6,1 mangkok,268.6
386,Peterseli,50,3.7,9,193,83.9,193,1,1 ikat,232
387,Prey (bawang daun),45,2.2,10.3,17,86.3,52,0.3,1 akar,28
388,Rebung,27,0.6,5.2,4,91,13,0.3,1 mangkok,225.4
389,Sawi,22,2.3,4,102,92.2,220,0.3,1 buah ,41
390,Selada,15,1.2,2.9,8,94.8,22,0.2,1 mangkok,50
391,Selada Air,17,1.7,3,50,94.1,182,0.3,1 batang,3
392,Selada Air rebus,19,2.7,2.9,27,93.5,83,0.2,1 mangkok,163.2
393,Seledri,20,1,4.6,11,93,50,0.1,1 mangkok,50
394,Singkah (rotan muda),81,5.1,5.1,4,73.9,60,4.5,1 kg,1000
395,Sop Kool,12,0.5,2,17.6,0,14.2,0.1,1 mangkok,195
396,Sop Kool dan Wortel,15,0.6,3.1,14.6,0,12.6,0.1,1 mangkok,235
397,Susupan,87,5.3,6.3,31,60,54,5.2,1 buah,30
398,Tebu Terubuk,25,4.6,3,50,91,40,0.4,1 potong,18
399,Tekokak,34,2,7.9,80,89,50,0.1,1 mangkok,50
400,Tekokak kering,294,8.3,72.6,0,12.3,370,1.7,1 ikat,77
401,Terong,24,1.1,5.5,5,92.7,15,0.2,1 mangkok,50
402,Terong + Oncom makanan,285,4.3,9.5,3.5,0,48,25.7,1 sdm,20.6
403,Terong Asam,39,2.3,2,17,89.8,51,1.9,1 buah,39
404,Terong Belanda,48,1.5,11.3,17,85.9,13,0.3,1 buah,115.6
405,Terong kukus,23,1.8,4.9,2,92.7,40,0.1,1 gelas,100
406,Tespong daun,59,2.9,13.9,21,81,155,0.3,1 ikat,59.8
407,Toge -Tahu makanan,392,5.4,28.4,7.6,0,17.4,28.5,1 sdm,15.6
408,Toge kacang ijo,23,2.9,4.1,15,92.4,29,0.2,1 mangkok,50
409,Toge kacang tunggak,35,5,5.8,15,88,57,0.2,1 mangkok,50
410,Toge kedelai,67,9,6.4,15,81,50,2.6,1 mangkok,50
